Date,Description,Amount,Transaction Type,Category
11/12/2018,American Tavern,22.33,Expenses,Restaurants
11/13/2018,Grocery Store,4.8,Expenses,Groceries
11/13/2018,Grocery Store,37.43,Expenses,Groceries
11/13/2018,Grocery Store,10.15,Expenses,Groceries
11/13/2018,Phone Company,89.54,Expenses,Mobile Phone
11/14/2018,Power Company,60.0,Expenses,Utilities
11/16/2018,City Water Charges,35.0,Expenses,Utilities
11/17/2018,Brewing Company,22.8,Expenses,Alcohol & Bars
11/17/2018,Hardware Store,15.47,Expenses,Home Improvement
11/17/2018,Hardware Store,6.4,Expenses,Home Improvement
11/17/2018,Greek Restaurant,23.26,Expenses,Restaurants
11/19/2018,Brewing Company,20.0,Expenses,Alcohol & Bars
11/19/2018,QuikTrip,29.15,Expenses,Gas & Fuel
11/19/2018,Hardware Store,10.02,Expenses,Home Improvement
11/20/2018,State Farm,75.0,Expenses,Auto Insurance
11/20/2018,Credit Card Payment,421.96,Income,Credit Card Payment
11/21/2018,Grocery Store,5.64,Expenses,Groceries
11/21/2018,Hardware Store,37.41,Expenses,Home Improvement
11/23/2018,Biweekly Paycheck,2000.0,Income,Paycheck
11/26/2018,American Tavern,16.8,Expenses,Alcohol & Bars
11/26/2018,Internet Service Provider,74.99,Expenses,Internet
11/27/2018,Movie Theater,17.0,Expenses,Movies & DVDs
11/27/2018,American Tavern,28.4,Expenses,Restaurants
11/29/2018,Credit Card Payment,582.99,Income,Credit Card Payment
11/29/2018,Credit Card Payment,751.5,Income,Credit Card Payment
11/30/2018,Credit Card Payment,582.99,Expenses,Credit Card Payment
11/30/2018,Grocery Store,6.27,Expenses,Groceries
12/01/2018,Grocery Store,5.64,Expenses,Groceries
12/01/2018,Brunch Restaurant,8.0,Expenses,Restaurants
12/01/2018,Amazon,13.13,Expenses,Shopping
12/03/2018,BP,30.03,Expenses,Gas & Fuel
12/03/2018,Grocery Store,148.15,Expenses,Groceries
12/03/2018,Mortgage Payment,1209.18,Expenses,Mortgage & Rent
12/04/2018,Starbucks,3.0,Expenses,Coffee Shops
12/04/2018,Latin Restaurant,20.65,Expenses,Fast Food
12/04/2018,Netflix,11.76,Expenses,Movies & DVDs
12/06/2018,Grocery Store,21.38,Expenses,Groceries
12/06/2018,Grocery Store,13.48,Expenses,Groceries
12/06/2018,Gas Company,40.0,Expenses,Utilities
12/07/2018,Barbershop,30.0,Expenses,Haircut
12/07/2018,Biweekly Paycheck,2000.0,Income,Paycheck
12/08/2018,Grocery Store,12.64,Expenses,Groceries
12/09/2018,Spotify,10.69,Expenses,Music
12/11/2018,Brunch Restaurant,10.29,Expenses,Restaurants
12/12/2018,Phone Company,89.54,Expenses,Mobile Phone
12/13/2018,Thai Restaurant,27.0,Expenses,Restaurants
12/14/2018,Grocery Store,21.39,Expenses,Groceries
12/14/2018,Hardware Store,17.1,Expenses,Home Improvement
12/14/2018,Power Company,60.0,Expenses,Utilities
12/17/2018,American Tavern,63.0,Expenses,Food & Dining
12/17/2018,BP,20.01,Expenses,Gas & Fuel
12/17/2018,City Water Charges,35.0,Expenses,Utilities
12/18/2018,Starbucks,3.0,Expenses,Coffee Shops
12/18/2018,Credit Card Payment,311.02,Income,Credit Card Payment
12/18/2018,Credit Card Payment,311.02,Expenses,Credit Card Payment
12/18/2018,Fancy Restaurant,56.52,Expenses,Restaurants
12/18/2018,Amazon,49.99,Expenses,Shopping
12/18/2018,Amazon,41.72,Expenses,Shopping
12/18/2018,Amazon,24.3,Expenses,Shopping
12/19/2018,State Farm,75.0,Expenses,Auto Insurance
12/19/2018,Amazon,43.01,Expenses,Shopping
12/20/2018,Credit Card Payment,464.03,Income,Credit Card Payment
12/20/2018,Shell,30.38,Expenses,Gas & Fuel
12/21/2018,Credit Card Payment,464.03,Expenses,Credit Card Payment
12/21/2018,Biweekly Paycheck,2000.0,Income,Paycheck
12/22/2018,New York Deli,21.38,Expenses,Fast Food
12/22/2018,Hardware Store,22.14,Expenses,Home Improvement
12/23/2018,Hardware Store,28.0,Expenses,Home Improvement
12/24/2018,Hardware Store,38.4,Expenses,Home Improvement
12/26/2018,Chick-Fil-A,56.07,Expenses,Fast Food
12/26/2018,Shell,32.47,Expenses,Gas & Fuel
12/26/2018,Shell,7.48,Expenses,Gas & Fuel
12/26/2018,Internet Service Provider,75.99,Expenses,Internet
12/26/2018,Amazon,44.99,Expenses,Shopping
12/28/2018,Brewing Company,12.0,Expenses,Alcohol & Bars
12/29/2018,Brewing Company,14.0,Expenses,Alcohol & Bars
12/29/2018,Credit Card Payment,860.05,Income,Credit Card Payment
12/29/2018,Grocery Store,55.04,Expenses,Groceries
01/01/2019,Amazon,13.09,Expenses,Shopping
01/02/2019,Credit Card Payment,499.6,Expenses,Credit Card Payment
01/03/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
01/03/2019,Amazon,42.1,Expenses,Shopping
01/04/2019,Biweekly Paycheck,2000.0,Income,Paycheck
01/05/2019,American Tavern,23.49,Expenses,Restaurants
01/08/2019,Gas Company,45.0,Expenses,Utilities
01/09/2019,Credit Card Payment,491.45,Income,Credit Card Payment
01/09/2019,Credit Card Payment,491.45,Expenses,Credit Card Payment
01/09/2019,Credit Card Payment,281.84,Expenses,Credit Card Payment
01/09/2019,Spotify,10.69,Expenses,Music
01/10/2019,Grocery Store,58.79,Expenses,Groceries
01/10/2019,Barbershop,30.0,Expenses,Haircut
01/10/2019,Phone Company,65.0,Expenses,Mobile Phone
01/14/2019,Shell,28.92,Expenses,Gas & Fuel
01/15/2019,Grocery Store,6.06,Expenses,Groceries
01/16/2019,City Water Charges,35.0,Expenses,Utilities
01/16/2019,Power Company,60.0,Expenses,Utilities
01/18/2019,State Farm,75.0,Expenses,Auto Insurance
01/18/2019,Biweekly Paycheck,2000.0,Income,Paycheck
01/21/2019,Credit Card Payment,277.99,Income,Credit Card Payment
01/22/2019,Credit Card Payment,277.99,Expenses,Credit Card Payment
01/24/2019,Grocery Store,21.06,Expenses,Groceries
01/24/2019,Amazon,11.7,Expenses,Shopping
01/24/2019,Amazon,4.21,Expenses,Shopping
01/25/2019,Internet Service Provider,75.0,Expenses,Internet
01/31/2019,Credit Card Payment,1900.0,Expenses,Credit Card Payment
01/31/2019,Shell,31.32,Expenses,Gas & Fuel
02/01/2019,Biweekly Paycheck,2000.0,Income,Paycheck
02/01/2019,Roadside Diner,9.47,Expenses,Restaurants
02/01/2019,Amazon,13.09,Expenses,Shopping
02/04/2019,Hardware Store,86.97,Expenses,Home Improvement
02/04/2019,Netflix,11.76,Expenses,Television
02/05/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
02/07/2019,Gas Company,65.0,Expenses,Utilities
02/08/2019,Starbucks,3.0,Expenses,Coffee Shops
02/08/2019,Thai Restaurant,27.47,Expenses,Restaurants
02/09/2019,Spotify,10.69,Expenses,Music
02/11/2019,Starbucks,3.0,Expenses,Coffee Shops
02/11/2019,Credit Card Payment,133.95,Expenses,Credit Card Payment
02/11/2019,BP,24.01,Expenses,Gas & Fuel
02/12/2019,Grocery Store,30.54,Expenses,Groceries
02/12/2019,Phone Company,65.0,Expenses,Mobile Phone
02/13/2019,Grocery Store,8.21,Expenses,Groceries
02/15/2019,Credit Card Payment,207.47,Income,Credit Card Payment
02/15/2019,Credit Card Payment,207.47,Expenses,Credit Card Payment
02/15/2019,Grocery Store,4.59,Expenses,Groceries
02/15/2019,Biweekly Paycheck,2000.0,Income,Paycheck
02/15/2019,Power Company,60.0,Expenses,Utilities
02/16/2019,Brewing Company,8.0,Expenses,Alcohol & Bars
02/16/2019,American Tavern,32.75,Expenses,Restaurants
02/16/2019,Amazon,37.45,Expenses,Shopping
02/19/2019,Credit Card Payment,574.84,Expenses,Credit Card Payment
02/19/2019,City Water Charges,35.0,Expenses,Utilities
02/20/2019,State Farm,75.0,Expenses,Auto Insurance
02/20/2019,Credit Card Payment,292.54,Income,Credit Card Payment
02/20/2019,Barbershop,30.0,Expenses,Haircut
02/21/2019,Credit Card Payment,292.54,Expenses,Credit Card Payment
02/21/2019,Grocery Store,46.96,Expenses,Groceries
02/25/2019,BP,33.8,Expenses,Gas & Fuel
02/25/2019,Internet Service Provider,75.0,Expenses,Internet
02/27/2019,Roadside Diner,25.77,Expenses,Restaurants
02/28/2019,Grocery Store,32.07,Expenses,Groceries
03/01/2019,Biweekly Paycheck,2000.0,Income,Paycheck
03/01/2019,Amazon,13.09,Expenses,Shopping
03/04/2019,Grocery Store,92.04,Expenses,Groceries
03/04/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
03/04/2019,Netflix,11.76,Expenses,Television
03/05/2019,Fancy Restaurant,7.0,Expenses,Restaurants
03/06/2019,Credit Card Payment,491.86,Expenses,Credit Card Payment
03/08/2019,BP,34.08,Expenses,Gas & Fuel
03/08/2019,Amazon,27.17,Expenses,Shopping
03/08/2019,Gas Company,49.0,Expenses,Utilities
03/09/2019,Spotify,10.69,Expenses,Music
03/12/2019,Phone Company,65.0,Expenses,Mobile Phone
03/12/2019,Bakery Place,3.02,Expenses,Restaurants
03/13/2019,Credit Card Payment,532.86,Income,Credit Card Payment
03/13/2019,Credit Card Payment,301.79,Income,Credit Card Payment
03/14/2019,Credit Card Payment,305.27,Expenses,Credit Card Payment
03/14/2019,Credit Card Payment,301.79,Expenses,Credit Card Payment
03/14/2019,Brunch Restaurant,8.0,Expenses,Restaurants
03/15/2019,Biweekly Paycheck,2000.0,Income,Paycheck
03/15/2019,Power Company,60.0,Expenses,Utilities
03/18/2019,Best Buy,320.99,Expenses,Electronics & Software
03/18/2019,Grocery Store,16.23,Expenses,Groceries
03/19/2019,Amazon,13.84,Expenses,Shopping
03/19/2019,City Water Charges,35.0,Expenses,Utilities
03/20/2019,State Farm,75.0,Expenses,Auto Insurance
03/22/2019,BP,37.51,Expenses,Gas & Fuel
03/23/2019,Starbucks,5.2,Expenses,Coffee Shops
03/25/2019,Internet Service Provider,75.0,Expenses,Internet
03/26/2019,Amazon,16.04,Expenses,Shopping
03/27/2019,Brewing Company,49.63,Expenses,Alcohol & Bars
03/27/2019,Grocery Store,4.46,Expenses,Groceries
03/29/2019,Biweekly Paycheck,2000.0,Income,Paycheck
03/30/2019,Starbucks,12.84,Expenses,Coffee Shops
03/31/2019,Credit Card Payment,957.6,Income,Credit Card Payment
04/01/2019,Credit Card Payment,1552.65,Expenses,Credit Card Payment
04/01/2019,Credit Card Payment,600.51,Income,Credit Card Payment
04/01/2019,Amazon,13.09,Expenses,Shopping
04/02/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
04/04/2019,Grocery Store,5.64,Expenses,Groceries
04/04/2019,Amazon,35.9,Expenses,Shopping
04/04/2019,Netflix,11.76,Expenses,Television
04/06/2019,Amazon,27.54,Expenses,Shopping
04/08/2019,Gas Company,30.0,Expenses,Utilities
04/09/2019,Credit Card Payment,436.75,Expenses,Credit Card Payment
04/09/2019,Grocery Store,10.7,Expenses,Groceries
04/09/2019,Barbershop,30.0,Expenses,Haircut
04/09/2019,Spotify,10.69,Expenses,Music
04/10/2019,Phone Company,65.0,Expenses,Mobile Phone
04/12/2019,Best Buy,44.93,Expenses,Electronics & Software
04/12/2019,Grocery Store,41.34,Expenses,Groceries
04/12/2019,Biweekly Paycheck,2000.0,Income,Paycheck
04/13/2019,QuikTrip,38.94,Expenses,Gas & Fuel
04/13/2019,Grocery Store,16.87,Expenses,Groceries
04/13/2019,Vietnamese Restaurant,20.64,Expenses,Restaurants
04/15/2019,Power Company,60.0,Expenses,Utilities
04/16/2019,City Water Charges,35.0,Expenses,Utilities
04/18/2019,State Farm,75.0,Expenses,Auto Insurance
04/18/2019,Credit Card Payment,604.32,Income,Credit Card Payment
04/18/2019,Credit Card Payment,458.1,Income,Credit Card Payment
04/19/2019,Credit Card Payment,604.32,Expenses,Credit Card Payment
04/19/2019,Grocery Store,10.89,Expenses,Groceries
04/22/2019,Brewing Company,14.4,Expenses,Alcohol & Bars
04/22/2019,Greek Restaurant,64.52,Expenses,Restaurants
04/23/2019,Hardware Store,29.56,Expenses,Home Improvement
04/25/2019,Internet Service Provider,75.0,Expenses,Internet
04/26/2019,Biweekly Paycheck,2000.0,Income,Paycheck
04/27/2019,Brewing Company,40.0,Expenses,Alcohol & Bars
04/27/2019,Credit Card Payment,268.96,Income,Credit Card Payment
04/27/2019,American Tavern,14.74,Expenses,Restaurants
04/29/2019,Credit Card Payment,268.96,Expenses,Credit Card Payment
04/29/2019,Grocery Store,5.64,Expenses,Groceries
04/30/2019,BP,39.08,Expenses,Gas & Fuel
05/01/2019,Amazon,13.09,Expenses,Shopping
05/02/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
05/03/2019,Credit Card Payment,758.07,Expenses,Credit Card Payment
05/04/2019,Netflix,13.9,Expenses,Television
05/06/2019,Amazon,16.94,Expenses,Shopping
05/07/2019,Amazon,38.56,Expenses,Shopping
05/09/2019,Best Buy,331.69,Expenses,Electronics & Software
05/09/2019,Spotify,10.69,Expenses,Music
05/09/2019,Target,3.2,Expenses,Shopping
05/09/2019,Gas Company,30.0,Expenses,Utilities
05/10/2019,Best Buy,21.39,Expenses,Electronics & Software
05/10/2019,Phone Company,65.0,Expenses,Mobile Phone
05/10/2019,Biweekly Paycheck,2000.0,Income,Paycheck
05/13/2019,Credit Card Payment,480.88,Expenses,Credit Card Payment
05/13/2019,QuikTrip,35.24,Expenses,Gas & Fuel
05/13/2019,Fancy Restaurant,98.19,Expenses,Restaurants
05/13/2019,Greek Restaurant,23.11,Expenses,Restaurants
05/14/2019,Grocery Store,2.02,Expenses,Groceries
05/15/2019,Power Company,60.0,Expenses,Utilities
05/17/2019,Credit Card Payment,575.33,Income,Credit Card Payment
05/17/2019,City Water Charges,35.0,Expenses,Utilities
05/20/2019,State Farm,75.0,Expenses,Auto Insurance
05/20/2019,Credit Card Payment,415.47,Expenses,Credit Card Payment
05/20/2019,American Tavern,32.53,Expenses,Restaurants
05/24/2019,Credit Card Payment,765.68,Income,Credit Card Payment
05/24/2019,Hardware Store,27.96,Expenses,Home Improvement
05/24/2019,Biweekly Paycheck,2000.0,Income,Paycheck
05/24/2019,Brunch Restaurant,8.0,Expenses,Restaurants
05/25/2019,QuikTrip,36.76,Expenses,Gas & Fuel
05/25/2019,Hardware Store,30.99,Expenses,Home Improvement
05/27/2019,Mexican Restaurant,34.33,Expenses,Restaurants
05/28/2019,Credit Card Payment,765.68,Expenses,Credit Card Payment
05/30/2019,Internet Service Provider,75.0,Expenses,Internet
05/30/2019,American Tavern,34.82,Expenses,Restaurants
06/01/2019,Amazon,13.09,Expenses,Shopping
06/03/2019,Starbucks,2.75,Expenses,Coffee Shops
06/03/2019,Credit Card Payment,260.95,Income,Credit Card Payment
06/03/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
06/04/2019,Barbershop,30.0,Expenses,Haircut
06/04/2019,Netflix,13.9,Expenses,Television
06/05/2019,Grocery Store,23.0,Expenses,Groceries
06/05/2019,Mexican Restaurant,23.24,Expenses,Restaurants
06/06/2019,Starbucks,3.75,Expenses,Coffee Shops
06/06/2019,Grocery Store,5.64,Expenses,Groceries
06/07/2019,Credit Card Payment,458.56,Expenses,Credit Card Payment
06/07/2019,Biweekly Paycheck,2000.0,Income,Paycheck
06/07/2019,Gas Company,30.0,Expenses,Utilities
06/09/2019,Spotify,10.69,Expenses,Music
06/12/2019,Phone Company,65.0,Expenses,Mobile Phone
06/13/2019,Credit Card Payment,152.72,Income,Credit Card Payment
06/13/2019,Credit Card Payment,152.72,Expenses,Credit Card Payment
06/14/2019,Grocery Store,10.69,Expenses,Groceries
06/15/2019,BP,33.16,Expenses,Gas & Fuel
06/17/2019,City Water Charges,35.0,Expenses,Utilities
06/17/2019,Power Company,60.0,Expenses,Utilities
06/18/2019,Brewing Company,15.0,Expenses,Alcohol & Bars
06/18/2019,Shell,41.83,Expenses,Gas & Fuel
06/19/2019,State Farm,75.0,Expenses,Auto Insurance
06/20/2019,Credit Card Payment,375.26,Expenses,Credit Card Payment
06/20/2019,Mike's Construction Co.,9200.0,Expenses,Home Improvement
06/20/2019,Credit Card Payment,100.68,Income,Credit Card Payment
06/21/2019,Credit Card Payment,100.68,Expenses,Credit Card Payment
06/21/2019,Biweekly Paycheck,2000.0,Income,Paycheck
06/24/2019,Brewing Company,15.0,Expenses,Alcohol & Bars
06/28/2019,BP,30.64,Expenses,Gas & Fuel
06/30/2019,Internet Service Provider,75.0,Expenses,Internet
07/01/2019,Starbucks,7.0,Expenses,Coffee Shops
07/01/2019,Grocery Store,99.47,Expenses,Groceries
07/01/2019,Hawaiian Grill,24.97,Expenses,Restaurants
07/01/2019,Thai Restaurant,24.0,Expenses,Restaurants
07/01/2019,Amazon,13.09,Expenses,Shopping
07/02/2019,Hardware Store,229.9,Expenses,Home Improvement
07/02/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
07/04/2019,Netflix,13.9,Expenses,Television
07/05/2019,Brewing Company,19.0,Expenses,Alcohol & Bars
07/05/2019,Biweekly Paycheck,2250.0,Income,Paycheck
07/06/2019,Credit Card Payment,220.08,Income,Credit Card Payment
07/06/2019,Grocery Store,92.98,Expenses,Groceries
07/06/2019,Greek Restaurant,23.26,Expenses,Restaurants
07/07/2019,Hardware Store,103.14,Expenses,Home Improvement
07/08/2019,Credit Card Payment,305.28,Expenses,Credit Card Payment
07/08/2019,Credit Card Payment,220.08,Expenses,Credit Card Payment
07/09/2019,Credit Card Payment,549.72,Income,Credit Card Payment
07/09/2019,Spotify,10.69,Expenses,Music
07/10/2019,Phone Company,65.0,Expenses,Mobile Phone
07/10/2019,Gas Company,30.0,Expenses,Utilities
07/15/2019,Grocery Store,87.14,Expenses,Groceries
07/16/2019,Amazon,89.99,Expenses,Shopping
07/16/2019,Power Company,60.0,Expenses,Utilities
07/17/2019,City Water Charges,35.0,Expenses,Utilities
07/18/2019,State Farm,75.0,Expenses,Auto Insurance
07/18/2019,Credit Card Payment,814.5,Expenses,Credit Card Payment
07/18/2019,BP,36.42,Expenses,Gas & Fuel
07/18/2019,Grocery Store,29.83,Expenses,Groceries
07/18/2019,Brunch Restaurant,8.82,Expenses,Restaurants
07/19/2019,Credit Card Payment,115.52,Income,Credit Card Payment
07/19/2019,Biweekly Paycheck,2250.0,Income,Paycheck
07/19/2019,Mexican Restaurant,28.0,Expenses,Restaurants
07/22/2019,Credit Card Payment,257.08,Income,Credit Card Payment
07/22/2019,Thai Restaurant,26.67,Expenses,Restaurants
07/23/2019,Credit Card Payment,257.08,Expenses,Credit Card Payment
07/24/2019,Starbucks,2.5,Expenses,Coffee Shops
07/27/2019,Barbershop,30.0,Expenses,Haircut
07/28/2019,Hardware Store,44.31,Expenses,Home Improvement
07/29/2019,Grocery Store,5.35,Expenses,Groceries
07/29/2019,Fancy Restaurant,44.92,Expenses,Restaurants
07/30/2019,Grocery Store,15.77,Expenses,Groceries
07/30/2019,Internet Service Provider,75.0,Expenses,Internet
08/01/2019,Amazon,13.09,Expenses,Shopping
08/02/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
08/02/2019,Biweekly Paycheck,2250.0,Income,Paycheck
08/03/2019,BP,36.36,Expenses,Gas & Fuel
08/03/2019,Grocery Store,3.96,Expenses,Groceries
08/03/2019,American Tavern,23.47,Expenses,Restaurants
08/04/2019,Netflix,13.9,Expenses,Television
08/05/2019,Brewing Company,18.0,Expenses,Alcohol & Bars
08/05/2019,Credit Card Payment,349.28,Income,Credit Card Payment
08/05/2019,Credit Card Payment,117.65,Income,Credit Card Payment
08/06/2019,Credit Card Payment,521.17,Expenses,Credit Card Payment
08/06/2019,Credit Card Payment,117.65,Expenses,Credit Card Payment
08/06/2019,Hardware Store,125.0,Expenses,Home Improvement
08/08/2019,Grocery Store,11.72,Expenses,Groceries
08/09/2019,Spotify,10.69,Expenses,Music
08/09/2019,Gas Company,30.0,Expenses,Utilities
08/12/2019,Phone Company,65.0,Expenses,Mobile Phone
08/12/2019,Thai Restaurant,26.67,Expenses,Restaurants
08/14/2019,Starbucks,2.75,Expenses,Coffee Shops
08/15/2019,Credit Card Payment,335.2,Expenses,Credit Card Payment
08/15/2019,Power Company,60.0,Expenses,Utilities
08/16/2019,Biweekly Paycheck,2250.0,Income,Paycheck
08/16/2019,City Water Charges,35.0,Expenses,Utilities
08/17/2019,Credit Card Payment,87.17,Income,Credit Card Payment
08/17/2019,Grocery Store,33.15,Expenses,Groceries
08/17/2019,Barbershop,19.0,Expenses,Haircut
08/17/2019,American Tavern,3.5,Expenses,Restaurants
08/19/2019,Credit Card Payment,1248.95,Expenses,Credit Card Payment
08/20/2019,State Farm,75.0,Expenses,Auto Insurance
08/20/2019,Starbucks,2.75,Expenses,Coffee Shops
08/21/2019,Shell,34.69,Expenses,Gas & Fuel
08/23/2019,Starbucks,2.75,Expenses,Coffee Shops
08/25/2019,Brunch Restaurant,39.43,Expenses,Restaurants
08/26/2019,Hardware Store,66.75,Expenses,Home Improvement
08/29/2019,Starbucks,3.0,Expenses,Coffee Shops
08/30/2019,Starbucks,2.75,Expenses,Coffee Shops
08/30/2019,Internet Service Provider,75.0,Expenses,Internet
08/30/2019,Biweekly Paycheck,2250.0,Income,Paycheck
08/31/2019,Hardware Store,68.04,Expenses,Home Improvement
08/31/2019,BBQ Restaurant,41.78,Expenses,Restaurants
09/01/2019,Amazon,13.09,Expenses,Shopping
09/03/2019,Mortgage Payment,1100.0,Expenses,Mortgage & Rent
09/03/2019,Fancy Restaurant,41.24,Expenses,Restaurants
09/04/2019,Netflix,13.9,Expenses,Television
09/05/2019,Starbucks,3.75,Expenses,Coffee Shops
09/06/2019,Credit Card Payment,1390.37,Income,Credit Card Payment
09/06/2019,Credit Card Payment,1390.37,Expenses,Credit Card Payment
09/06/2019,Credit Card Payment,502.75,Expenses,Credit Card Payment
09/07/2019,Brewing Company,12.87,Expenses,Alcohol & Bars
09/08/2019,Brewing Company,19.3,Expenses,Alcohol & Bars
09/09/2019,Shell,28.77,Expenses,Gas & Fuel
09/09/2019,Grocery Store,65.09,Expenses,Groceries
09/09/2019,Hardware Store,26.25,Expenses,Home Improvement
09/09/2019,Spotify,10.69,Expenses,Music
09/09/2019,Gas Company,30.0,Expenses,Utilities
09/11/2019,Credit Card Payment,360.56,Income,Credit Card Payment
09/11/2019,Phone Company,65.0,Expenses,Mobile Phone
09/12/2019,Credit Card Payment,360.56,Expenses,Credit Card Payment
09/13/2019,Starbucks,2.75,Expenses,Coffee Shops
09/13/2019,Biweekly Paycheck,2250.0,Income,Paycheck
09/14/2019,Grocery Store,46.44,Expenses,Groceries
09/15/2019,Amazon,47.66,Expenses,Shopping
09/16/2019,Credit Card Payment,90.57,Expenses,Credit Card Payment
09/16/2019,Credit Card Payment,90.57,Income,Credit Card Payment
09/16/2019,City Water Charges,35.0,Expenses,Utilities
09/17/2019,Credit Card Payment,186.13,Income,Credit Card Payment
09/17/2019,Power Company,60.0,Expenses,Utilities
09/18/2019,State Farm,75.0,Expenses,Auto Insurance
09/18/2019,Credit Card Payment,1606.46,Expenses,Credit Card Payment
09/19/2019,Brewing Company,40.81,Expenses,Alcohol & Bars
09/19/2019,Starbucks,2.75,Expenses,Coffee Shops
09/20/2019,Credit Card Payment,9.43,Income,Credit Card Payment
09/22/2019,Seafood Restaurant,131.1,Expenses,Restaurants
09/23/2019,Credit Card Payment,9.43,Expenses,Credit Card Payment
09/23/2019,Grocery Store,27.71,Expenses,Groceries
09/23/2019,Amazon,24.63,Expenses,Shopping
09/27/2019,Biweekly Paycheck,2250.0,Income,Paycheck
09/28/2019,BP,33.46,Expenses,Gas & Fuel
09/28/2019,Sheetz,4.27,Expenses,Gas & Fuel
09/30/2019,Starbucks,1.75,Expenses,Coffee Shops
09/30/2019,Internet Service Provider,75.0,Expenses,Internet
